MYYYY_generation,price_per_sq_m,price_direction,isExclusiveness,isNew,livingArea,price,zipCode,deposit_rate,lagged_CPI,volatility_value,City,num_rooms_categorical
Jul-22,7483.887939,Stayed the same,False,False,76.03,569000,92600,-0.5,5.84,27.55,Asnieres-sur-Seine,large
Jul-22,7480.424569,Stayed the same,False,False,57.47,429900,92600,-0.5,5.84,27.55,Asnieres-sur-Seine,large
Jul-22,4527.272727,Decreased,False,False,55.0,249000,92600,-0.5,5.84,27.55,Asnieres-sur-Seine,medium
Jul-22,8474.576271,Stayed the same,False,False,59.0,500000,92600,-0.5,5.84,27.55,Asnieres-sur-Seine,small
Jul-22,7037.037037,Stayed the same,False,False,54.0,380000,92600,-0.5,5.84,27.55,Asnieres-sur-Seine,medium
Jul-22,7770.27027,Stayed the same,True,False,74.0,575000,92000,-0.5,5.84,27.55,Nanterre,small
Jul-22,7837.209302,Decreased,False,False,86.0,674000,92000,-0.5,5.84,27.55,Nanterre,medium
Jul-22,5477.686483,Stayed the same,True,False,62.07,340000,92000,-0.5,5.84,27.55,Nanterre,small
Jul-22,4736.842105,Stayed the same,False,False,57.0,270000,92000,-0.5,5.84,27.55,Nanterre,medium
Jul-22,6083.333333,Stayed the same,False,False,60.0,365000,92000,-0.5,5.84,27.55,Nanterre,small
Jul-22,4509.090909,Stayed the same,False,False,55.0,248000,92000,-0.5,5.84,27.55,Nanterre,small
Jul-22,5618.247299,Stayed the same,True,False,66.64,374400,92000,-0.5,5.84,27.55,Nanterre,large
Jul-22,5769.230769,Stayed the same,True,False,65.0,375000,92000,-0.5,5.84,27.55,Nanterre,medium
Jul-22,2630.434783,Stayed the same,False,False,46.0,121000,86240,-0.5,5.84,27.55,Poitiers,medium
Jul-22,3690.415172,Decreased,False,False,39.02,144000,86000,-0.5,5.84,27.55,Poitiers,medium
Jul-22,2525.684932,Decreased,True,False,23.36,59000,86000,-0.5,5.84,27.55,Poitiers,medium
Jul-22,2951.219512,Stayed the same,False,False,41.0,121000,86000,-0.5,5.84,27.55,Poitiers,medium
Jul-22,2971.51277,Stayed the same,False,False,40.72,121000,86000,-0.5,5.84,27.55,Poitiers,large
Jul-22,5475.609756,Stayed the same,False,False,82.0,449000,78000,-0.5,5.84,27.55,Versailles,small
Jul-22,7647.058824,Decreased,True,False,68.0,520000,78000,-0.5,5.84,27.55,Versailles,medium
Jul-22,6904.610155,Decreased,False,False,94.14,650000,78000,-0.5,5.84,27.55,Versailles,medium
Jul-22,7638.888889,Decreased,True,False,72.0,550000,92400,-0.5,5.84,27.55,Courbevoie,medium
Jul-22,7389.61039,Stayed the same,False,False,77.0,569000,92400,-0.5,5.84,27.55,Courbevoie,medium
Jul-22,7377.04918,Decreased,False,False,54.9,405000,92400,-0.5,5.84,27.55,Courbevoie,small
Jul-22,7827.90927,Stayed the same,False,False,81.12,635000,92400,-0.5,5.84,27.55,Courbevoie,medium
Jul-22,7228.26087,Stayed the same,False,False,92.0,665000,92400,-0.5,5.84,27.55,Courbevoie,medium
