MYYYY_generation,price_per_sq_m,price_direction,date_of_data_generation,id,isExclusiveness,isNew,livingArea,price,num_rooms.x,zipCode,deposit_rate,lagged_CPI,volatility_value,City,num_rooms_categorical,nr_weeks
Jun-22,1614.864865,Stayed the same,26/06/2022,185132717,TRUE,FALSE,74,119500,3,59500,-0.5,5.2,28.76,Lille,medium,1
Jun-22,3677.725118,Stayed the same,26/06/2022,184687641,TRUE,FALSE,52.75,194000,2,51100,-0.5,5.2,28.76,Reims,medium,1
Jun-22,3521.73913,Stayed the same,26/06/2022,184943925,TRUE,FALSE,27.6,97200,1,51100,-0.5,5.2,28.76,Reims,medium,1
Jun-22,3621.677957,Stayed the same,26/06/2022,186854593,TRUE,FALSE,76.76,278000,3,51100,-0.5,5.2,28.76,Reims,small,1
Jun-22,3632.019116,Stayed the same,26/06/2022,185711287,TRUE,FALSE,41.85,152000,2,51100,-0.5,5.2,28.76,Reims,medium,1
Jun-22,3680.751174,Stayed the same,26/06/2022,187820593,FALSE,FALSE,106.5,392000,5,51100,-0.5,5.2,28.76,Reims,medium,1
Jun-22,1639.422053,Stayed the same,26/06/2022,187151685,TRUE,FALSE,65.75,107792,3,51200,-0.5,5.2,28.76,Reims,medium,1
Jun-22,4249.706917,Stayed the same,26/06/2022,186743891,FALSE,FALSE,34.12,145000,2,51100,-0.5,5.2,28.76,Reims,medium,1
Jun-22,3225,Stayed the same,26/06/2022,186961645,TRUE,FALSE,60,193500,3,51100,-0.5,5.2,28.76,Reims,small,1
Jun-22,1775.636614,Decreased,26/06/2022,184747967,TRUE,FALSE,72.65,129000,3,51200,-0.5,5.2,28.76,Reims,large,1
Jun-22,2457.692308,Stayed the same,26/06/2022,188015341,TRUE,FALSE,52,127800,2,76420,-0.5,5.2,28.76,Le Havre,medium,1
Jun-22,4429.824561,Stayed the same,26/06/2022,172992735,FALSE,FALSE,114,505000,4,76130,-0.5,5.2,28.76,Le Havre,small,1
Jun-22,3838.461538,Stayed the same,26/06/2022,172992529,FALSE,FALSE,130,499000,4,76240,-0.5,5.2,28.76,Le Havre,small,1
Jun-22,4433.962264,Stayed the same,26/06/2022,172992681,FALSE,FALSE,53,235000,2,76130,-0.5,5.2,28.76,Le Havre,medium,1
Jun-22,4245.283019,Increased,26/06/2022,172992757,FALSE,FALSE,106,450000,4,76420,-0.5,5.2,28.76,Le Havre,small,1
Jun-22,4204.545455,Stayed the same,26/06/2022,172992637,FALSE,FALSE,88,370000,4,76130,-0.5,5.2,28.76,Le Havre,medium,1
Jun-22,4326.923077,Increased,26/06/2022,172992399,FALSE,FALSE,104,450000,4,76420,-0.5,5.2,28.76,Le Havre,medium,1
Jun-22,3756.060606,Stayed the same,26/06/2022,172992779,FALSE,FALSE,66,247900,3,76420,-0.5,5.2,28.76,Le Havre,small,1
Jun-22,3494.21271,Stayed the same,26/06/2022,186982081,TRUE,FALSE,45.79,160000,2,76200,-0.5,5.2,28.76,Le Havre,small,1
Jun-22,1275,Stayed the same,26/06/2022,180248707,FALSE,FALSE,80,102000,4,76140,-0.5,5.2,28.76,Le Havre,small,1
Jun-22,2247.619048,Stayed the same,26/06/2022,186697383,TRUE,FALSE,105,236000,5,95200,-0.5,5.2,28.76,Cergy-Pontoise,small,1
Jun-22,3076.086957,Stayed the same,26/06/2022,188072283,TRUE,TRUE,46,141500,2,95200,-0.5,5.2,28.76,Cergy-Pontoise,medium,1
Jun-22,4663.333333,Stayed the same,26/06/2022,183680759,TRUE,FALSE,30,139900,1,95280,-0.5,5.2,28.76,Cergy-Pontoise,small,1
Jun-22,3877.777778,Stayed the same,26/06/2022,187375163,TRUE,FALSE,90,349000,4,95530,-0.5,5.2,28.76,Cergy-Pontoise,small,1
Jun-22,5350,Stayed the same,26/06/2022,187316643,TRUE,FALSE,40,214000,2,95320,-0.5,5.2,28.76,Cergy-Pontoise,medium,1
Jun-22,4492.134831,Stayed the same,26/06/2022,187375159,TRUE,FALSE,44.5,199900,2,95370,-0.5,5.2,28.76,Cergy-Pontoise,medium,1
Jun-22,4700,Stayed the same,26/06/2022,187431049,TRUE,FALSE,40,188000,2,95160,-0.5,5.2,28.76,Cergy-Pontoise,small,1
Jun-22,6169.245283,Stayed the same,26/06/2022,184000703,FALSE,FALSE,106,653940,5,95290,-0.5,5.2,28.76,Cergy-Pontoise,medium,1
Jun-22,2962.298025,Stayed the same,26/06/2022,187896619,FALSE,FALSE,55.7,165000,3,42270,-0.5,5.2,28.76,Saint-Etienne,small,1
Jun-22,1715.517241,Stayed the same,26/06/2022,187001981,FALSE,FALSE,58,99500,3,42000,-0.5,5.2,28.76,Saint-Etienne,medium,1
Jun-22,1848.275862,Stayed the same,26/06/2022,187879891,FALSE,FALSE,72.5,134000,3,42400,-0.5,5.2,28.76,Saint-Etienne,small,1
Jun-22,1222.222222,Stayed the same,26/06/2022,188139379,FALSE,TRUE,90,110000,4,42100,-0.5,5.2,28.76,Saint-Etienne,medium,1
Jun-22,1444.444444,Stayed the same,26/06/2022,188139377,TRUE,TRUE,117,169000,5,42100,-0.5,5.2,28.76,Saint-Etienne,medium,1
Jun-22,1662.650602,Stayed the same,26/06/2022,187281861,FALSE,FALSE,83,138000,4,42000,-0.5,5.2,28.76,Saint-Etienne,medium,1
Jun-22,1496.240602,Stayed the same,26/06/2022,187547903,FALSE,FALSE,66.5,99500,3,42000,-0.5,5.2,28.76,Saint-Etienne,medium,1
Jun-22,846.1538462,Stayed the same,26/06/2022,188060159,FALSE,TRUE,65,55000,3,42000,-0.5,5.2,28.76,Saint-Etienne,small,1
Jun-22,1584.028494,Stayed the same,26/06/2022,187737157,TRUE,FALSE,106.69,169000,4,42000,-0.5,5.2,28.76,Saint-Etienne,large,1
Jun-22,1818.181818,Stayed the same,26/06/2022,187952993,FALSE,FALSE,85.25,155000,4,42100,-0.5,5.2,28.76,Saint-Etienne,large,1
Jun-22,3153.846154,Stayed the same,26/06/2022,186911549,FALSE,FALSE,65,205000,5,42600,-0.5,5.2,28.76,Saint-Etienne,medium,1
Jun-22,3147.540984,Stayed the same,26/06/2022,186969317,FALSE,FALSE,61,192000,5,42600,-0.5,5.2,28.76,Saint-Etienne,medium,1
